Production date,Plant,Work center,Material,Material Description,Production in PHCs,,
1/9/2024,3002,PRD-08,100-130,COCA-COLA RB 250 ML,"15,210",,
1/9/2024,3002,PRD-09,825-200,FUS LEMON PET 250 ML 1X12,"11,794",,
1/9/2024,3002,PRD-10,191-630,Fanta Orange BIB 10 Lt,494,,
1/9/2024,3012,TPRD-01,103-535,COCA-COLA 1.5L 6BPET  PROMO,"66,352",,
1/10/2024,3005,PRD-01,100-130,COCA-COLA RB 250 ML,"31,044",,
1/10/2024,3004,PRD-01,103-535,COCA-COLA 1.5L 6BPET  PROMO,"82,940",,
1/10/2024,3011,PRD-01,103-541,COCA-COLA  PET 1.5L /6,"201,487",,
1/10/2024,3007,PRD-01,133-500,DASANI WATER PET 1.5L 1X6,"50,180",,
1/10/2024,3003,PRD-01,291-430,SPRITE PET500  1X12,"17,618",,
1/10/2024,3002,PRD-02,103-535,COCA-COLA 1.5L 6BPET  PROMO,"60,665",,
1/10/2024,3004,PRD-02,104-320,CC RPET1LT 1X6 PROMO,"126,454",,
1/10/2024,3003,PRD-02,290-130,SPRITE RB250,"7,098",,
1/10/2024,3006,PRD-02,291-730,SPRITE BIB 20 Lt_Import,90,,
1/10/2024,3005,PRD-02,293-530,SPRITE LEMON PET 1.5L /6,"66,066",,
1/10/2024,3011,PRD-02,294-300,SPRITE PET1L 1X6,"29,150",,
1/10/2024,3005,PRD-02,298-400,SPRITE  PET 750ML 1X6,"8,369",,
1/10/2024,3006,PRD-03,101-404,CC RPET500ML 1X12 PROMO,"45,846",,
1/10/2024,3003,PRD-03,293-530,SPRITE LEMON PET 1.5L /6,"8,151",,
1/10/2024,3004,PRD-04,100-130,COCA-COLA RB 250 ML,"10,062",,
1/10/2024,3005,PRD-04,103-535,COCA-COLA 1.5L 6BPET  PROMO,"26,884",,
1/10/2024,3007,PRD-05,100-130,COCA-COLA RB 250 ML,"25,428",,
1/10/2024,3003,PRD-05,100-170,COCA-COLA RB250ML 1X24 CONV.,"15,834",,
1/10/2024,3002,PRD-05,194-375,FANTA ORANGE PET1LT UPGRADE,"52,122",,
1/10/2024,3007,PRD-06,104-320,CC RPET1LT 1X6 PROMO,"40,622",,
1/10/2024,3002,PRD-06,110-557,CC PET 2L 1X6,"63,274",,
1/10/2024,3003,PRD-06,194-375,FANTA ORANGE PET1LT UPGRADE,"65,083",,
1/10/2024,3003,PRD-06,294-300,SPRITE PET1L 1X6,"1,669",,
1/10/2024,3002,PRD-07,291-430,SPRITE PET500  1X12,"16,016",,
1/10/2024,3002,PRD-08,100-130,COCA-COLA RB 250 ML,"27,300",,
1/10/2024,3002,PRD-09,825-200,FUS LEMON PET 250 ML 1X12,"4,774",,
1/10/2024,3002,PRD-10,731-631,CC ZERO SGR POM10LT 1X1,384,,
1/10/2024,3012,TPRD-01,103-535,COCA-COLA 1.5L 6BPET  PROMO,"97,383",,
1/10/2024,3004,TPRD-1,315-001,SPR ZERO CAN250ML 1X12 NEW,"3,224",,
1/11/2024,3005,PRD-01,100-130,COCA-COLA RB 250 ML,"29,250",,
1/11/2024,3004,PRD-01,103-535,COCA-COLA 1.5L 6BPET  PROMO,"32,890",,
1/11/2024,3011,PRD-01,103-541,COCA-COLA  PET 1.5L /6,334,,
1/11/2024,3007,PRD-01,131-400,DASANI WATER PET 500ML 1X12,"2,246",,
1/11/2024,3007,PRD-01,133-500,DASANI WATER PET 1.5L 1X6,"42,900",,
1/11/2024,3003,PRD-01,291-430,SPRITE PET500  1X12,"21,548",,
1/11/2024,3002,PRD-02,101-418,COCA-COLA 500ML12PET PROMO,120,,
1/11/2024,3006,PRD-02,101-730,COCA COLA BIB POSTMIX 20L,65,,
1/11/2024,3002,PRD-02,103-535,COCA-COLA 1.5L 6BPET  PROMO,429,,
1/11/2024,3004,PRD-02,104-302,COCA-COLA 1.0L 6BPET PROMO,"69,888",,
1/11/2024,3004,PRD-02,104-320,CC RPET1LT 1X6 PROMO,"9,391",,
1/11/2024,3002,PRD-02,131-400,DASANI WATER PET 500ML 1X12,"30,988",,
1/11/2024,3003,PRD-02,290-130,SPRITE RB250,"7,020",,
1/11/2024,3011,PRD-02,294-300,SPRITE PET1L 1X6,"22,745",,
1/11/2024,3005,PRD-02,298-400,SPRITE  PET 750ML 1X6,"44,444",,
1/11/2024,3011,PRD-02,308-400,SPRITE LEMON MINT PET1L 1X6,"14,414",,
1/11/2024,3006,PRD-03,101-404,CC RPET500ML 1X12 PROMO,"4,793",,
1/11/2024,3006,PRD-03,291-430,SPRITE PET500  1X12,"2,402",,
1/11/2024,3003,PRD-03,293-530,SPRITE LEMON PET 1.5L /6,"46,618",,
1/11/2024,3004,PRD-04,100-130,COCA-COLA RB 250 ML,"6,006",,
1/11/2024,3005,PRD-04,103-535,COCA-COLA 1.5L 6BPET  PROMO,"81,796",,
1/11/2024,3007,PRD-05,100-130,COCA-COLA RB 250 ML,"29,172",,
1/11/2024,3003,PRD-05,100-170,COCA-COLA RB250ML 1X24 CONV.,"21,372",,
1/11/2024,3002,PRD-05,308-400,SPRITE LEMON MINT PET1L 1X6,"22,512",,
1/11/2024,3007,PRD-06,104-320,CC RPET1LT 1X6 PROMO,"48,266",,
1/11/2024,3002,PRD-06,110-557,CC PET 2L 1X6,70,,
1/11/2024,3003,PRD-06,193-575,FANTA ORANGE PET1.5LT UPGRADE,"43,615",,
1/11/2024,3003,PRD-06,194-375,FANTA ORANGE PET1LT UPGRADE,"1,273",,
1/11/2024,3002,PRD-06,290-527,SPR LEMON PET 2L 1X6,"40,884",,
1/11/2024,3002,PRD-07,291-430,SPRITE PET500  1X12,"38,038",,
1/11/2024,3002,PRD-08,100-130,COCA-COLA RB 250 ML,"7,488",,
1/11/2024,3002,PRD-09,825-200,FUS LEMON PET 250 ML 1X12,40,,
1/11/2024,3002,PRD-10,101-730,COCA COLA BIB POSTMIX 20L,364,,
1/11/2024,3012,TPRD-01,103-535,COCA-COLA 1.5L 6BPET  PROMO,"97,107",,
1/11/2024,3004,TPRD-1,294-600,SPRITE CAN250ML 1X12,"6,448",,
1/11/2024,3004,TPRD-1,315-001,SPR ZERO CAN250ML 1X12 NEW,"37,830",,
1/12/2024,3005,PRD-01,100-130,COCA-COLA RB 250 ML,"29,952",,
